               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,metrics/uai_positif_mAP,metrics/uai_negatif_mAP,metrics/uap_positif_mAP,metrics/uap_negatif_mAP,metrics/uai_positif_mAP_50,metrics/uai_negatif_mAP_50,metrics/uap_positif_mAP_50,metrics/uap_negatif_mAP_50
                   0,            0.045114,            0.020911,            0.023363,              0.2601,             0.62619,             0.32502,              0.2152,            0.020216,           0.0079074,            0.017924,            0.070046,           0.0033283,           0.0033283,             0.33118,             0.12369,             0.31623,            0.089682,             0.53039,             0.16715,             0.47502,             0.12754
                   1,            0.031713,           0.0076092,            0.020037,             0.51264,             0.81829,             0.63892,             0.52407,            0.017505,           0.0055872,            0.011871,            0.039986,           0.0066016,           0.0066016,             0.75326,             0.33158,             0.67964,             0.33182,             0.93165,              0.3907,              0.8183,             0.41504
                   2,            0.030441,           0.0055785,            0.014131,             0.88984,             0.88119,             0.91956,              0.6939,            0.017523,           0.0043728,           0.0070516,           0.0098657,            0.009815,            0.009815,             0.77947,             0.58256,             0.73487,             0.67869,             0.98295,             0.77252,             0.98133,             0.94145
                   3,            0.026272,           0.0047792,           0.0091888,             0.95791,             0.94528,             0.97064,             0.84471,            0.011532,           0.0038429,           0.0039048,             0.00973,             0.00973,             0.00973,             0.89495,             0.81085,             0.86056,             0.81247,             0.98676,             0.95208,             0.99016,             0.95357
                   4,            0.022349,           0.0042224,           0.0074883,             0.97823,             0.95024,             0.96815,             0.85761,            0.010277,           0.0034905,           0.0031102,             0.00973,             0.00973,             0.00973,             0.88522,             0.80926,             0.90699,             0.82895,               0.981,             0.95001,             0.98436,             0.95722
                   5,            0.019878,           0.0038722,           0.0059815,             0.96195,             0.95443,             0.97024,             0.88597,           0.0081631,           0.0028223,           0.0030921,             0.00964,             0.00964,             0.00964,             0.91306,               0.836,             0.94654,             0.84826,             0.98063,             0.94847,             0.98194,             0.96994
                   6,            0.017439,           0.0036352,           0.0058287,             0.96491,             0.95776,             0.97204,             0.90149,           0.0083284,           0.0027788,           0.0025785,             0.00955,             0.00955,             0.00955,             0.90916,             0.86107,             0.94195,             0.89378,              0.9858,             0.95466,             0.98334,             0.96437
                   7,            0.016654,           0.0035246,            0.005454,             0.95359,             0.95556,              0.9715,             0.88691,            0.008121,           0.0027602,           0.0028577,             0.00946,             0.00946,             0.00946,             0.94463,             0.85004,             0.90906,             0.84389,             0.98491,             0.95393,             0.99009,             0.95708
                   8,            0.016001,           0.0033724,           0.0047914,             0.97642,             0.95941,             0.97319,             0.92017,           0.0066384,           0.0024659,           0.0022205,             0.00937,             0.00937,             0.00937,             0.95062,             0.88523,             0.94223,              0.9026,             0.98318,             0.95767,              0.9772,             0.97471
                   9,            0.014672,           0.0032255,           0.0045093,             0.97859,             0.95919,             0.97592,             0.91973,           0.0061112,           0.0023007,           0.0022443,             0.00928,             0.00928,             0.00928,              0.9448,             0.85467,             0.95923,              0.9202,              0.9762,             0.95802,             0.98927,             0.98018
