               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,   metrics/insan_mAP,metrics/otomobil_mAP,metrics/motorsiklet_mAP,  metrics/otobus_mAP,  metrics/kamyon_mAP,metrics/diger_kara_araclari_mAP,metrics/rayli_tasit_mAP,metrics/deniz_tasiti_mAP,metrics/insan_mAP_50,metrics/otomobil_mAP_50,metrics/motorsiklet_mAP_50,metrics/otobus_mAP_50,metrics/kamyon_mAP_50,metrics/diger_kara_araclari_mAP_50,metrics/rayli_tasit_mAP_50,metrics/deniz_tasiti_mAP_50
                   0,             0.09964,            0.025359,            0.014361,             0.19943,            0.084887,              0.0903,            0.044215,            0.057331,            0.018198,             0.01179,            0.026641,           0.0015972,           0.0015972,           0.0095945,             0.32548,          0.00028705,          0.00070151,            0.014677,          0.00048287,            3.99e-05,           0.0024577,            0.026856,              0.6553,          0.00073356,           0.0013809,            0.031521,           0.0012955,          7.9625e-05,           0.0052334
                   1,            0.059255,            0.019574,            0.012433,              0.5416,             0.16049,             0.16751,            0.092693,            0.039543,            0.012849,            0.010532,           0.0032318,           0.0031878,           0.0031878,              0.1479,             0.51981,           0.0021464,           0.0036158,            0.052972,           0.0053139,           0.0003556,            0.009434,               0.398,             0.81021,           0.0048541,           0.0070508,            0.095397,           0.0085316,          0.00069325,            0.015355
                   2,            0.047878,            0.014844,            0.011713,             0.92807,             0.17467,             0.20251,             0.12463,            0.031207,           0.0097673,           0.0099883,           0.0031812,           0.0031812,           0.0031812,             0.27975,             0.59729,            0.004611,           0.0091417,            0.074325,            0.010017,           0.0010809,             0.02079,              0.5798,             0.86709,           0.0091527,            0.015552,             0.10278,            0.014153,           0.0022444,            0.029264
                   3,             0.04042,            0.012575,             0.01113,              0.9479,             0.18274,             0.22189,             0.14065,            0.027382,           0.0085631,           0.0095009,           0.0031812,           0.0031812,           0.0031812,              0.3394,             0.63065,           0.0053491,            0.010414,            0.078749,            0.014664,           0.0017793,              0.0442,             0.65721,              0.9022,            0.010686,            0.016365,             0.10443,            0.019859,           0.0034669,            0.060927
                   4,            0.036994,            0.011486,            0.010662,             0.95551,             0.18864,             0.23553,             0.15054,            0.026767,           0.0079532,           0.0090404,           0.0031718,           0.0031718,           0.0031718,             0.35799,             0.65635,           0.0063697,            0.015005,            0.095078,             0.02643,           0.0026769,            0.044401,             0.70125,             0.92415,            0.012786,            0.023765,             0.12496,            0.035871,           0.0049445,            0.056522
                   5,            0.034737,            0.010815,            0.010237,             0.70543,             0.23675,             0.24381,             0.16028,            0.024728,           0.0075893,           0.0086106,           0.0031625,           0.0031625,           0.0031625,             0.39324,             0.66212,           0.0079189,            0.017289,             0.11328,            0.038427,           0.0035195,            0.046425,             0.71712,             0.93516,            0.015051,            0.028464,             0.14241,            0.046896,           0.0056894,            0.059709
                   6,            0.033638,            0.010518,           0.0099581,             0.60904,             0.24823,             0.25315,             0.17082,            0.024013,           0.0072883,            0.008249,           0.0031531,           0.0031531,           0.0031531,             0.41238,             0.68653,           0.0081689,            0.018409,             0.12276,            0.065152,           0.0040981,            0.049025,             0.73666,             0.94454,            0.015736,            0.024433,             0.15276,            0.080086,           0.0067712,            0.064185
                   7,            0.032402,            0.010171,           0.0095803,              0.5823,             0.25694,             0.26535,             0.18398,            0.023275,           0.0070426,           0.0079107,           0.0031437,           0.0031437,           0.0031437,             0.41804,             0.72601,           0.0096096,            0.020101,             0.13288,            0.074925,           0.0045817,             0.08571,             0.74931,             0.94934,            0.017751,            0.028141,             0.16676,            0.093145,           0.0071865,             0.11116
                   8,             0.03158,           0.0098595,           0.0093479,             0.57292,             0.26454,             0.27041,             0.19143,            0.022276,           0.0068509,           0.0076059,           0.0031343,           0.0031343,           0.0031343,             0.43282,             0.74648,            0.011406,            0.020269,             0.15057,            0.073285,           0.0051192,            0.091451,             0.76794,             0.95658,            0.021529,            0.026928,             0.18011,            0.088584,           0.0077994,             0.11381
                   9,            0.030507,           0.0096181,           0.0090134,             0.52468,             0.27041,             0.27923,              0.1996,            0.022014,           0.0067206,           0.0073894,           0.0031249,           0.0031249,           0.0031249,             0.44362,             0.74816,            0.013047,            0.020669,             0.14788,             0.10199,            0.005624,             0.11578,             0.77094,             0.96186,            0.023727,             0.02646,             0.17698,             0.12319,           0.0083132,              0.1424
                  10,            0.029959,            0.009436,           0.0088068,             0.56126,             0.28006,             0.29593,             0.21571,            0.021799,           0.0065721,           0.0071306,           0.0031155,           0.0031155,           0.0031155,             0.46135,             0.75399,              0.0147,            0.023244,             0.16706,             0.15999,            0.006247,             0.13913,             0.77989,             0.96597,            0.027027,            0.029449,             0.19984,             0.18557,           0.0088462,             0.17083
                  11,            0.029579,           0.0090666,           0.0085349,             0.58528,             0.29152,             0.31286,             0.23138,             0.02098,           0.0064659,           0.0068737,           0.0031061,           0.0031061,           0.0031061,             0.46966,             0.76845,            0.014821,            0.032859,             0.18611,             0.16715,           0.0088102,              0.2032,             0.79058,             0.97107,            0.027627,            0.038307,             0.22185,             0.19695,            0.012513,             0.24396
                  12,            0.029162,           0.0092378,            0.008246,              0.6242,              0.3142,             0.33002,             0.24473,            0.020811,           0.0063819,           0.0065439,           0.0030967,           0.0030967,           0.0030967,              0.4707,             0.77029,              0.0197,            0.047419,             0.22076,             0.18355,            0.015859,             0.22957,             0.79499,             0.97356,            0.037825,            0.055441,             0.26488,             0.21566,            0.024599,             0.27323
                  13,            0.028805,           0.0090123,           0.0079206,             0.48972,             0.33388,             0.35503,              0.2689,            0.020084,           0.0062748,            0.006298,           0.0030874,           0.0030874,           0.0030874,             0.47951,             0.78085,            0.021693,            0.063183,             0.28095,             0.21673,            0.043322,             0.26494,             0.79712,             0.97628,             0.04016,            0.072621,             0.33252,             0.25524,            0.061049,              0.3052
