               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,   metrics/insan_mAP,metrics/otomobil_mAP,metrics/motorsiklet_mAP,  metrics/otobus_mAP,  metrics/kamyon_mAP,metrics/diger_kara_araclari_mAP,metrics/rayli_tasit_mAP,metrics/deniz_tasiti_mAP,metrics/insan_mAP_50,metrics/otomobil_mAP_50,metrics/motorsiklet_mAP_50,metrics/otobus_mAP_50,metrics/kamyon_mAP_50,metrics/diger_kara_araclari_mAP_50,metrics/rayli_tasit_mAP_50,metrics/deniz_tasiti_mAP_50
                   0,            0.014254,            0.016918,          0.00081087,             0.91107,             0.82414,             0.86226,             0.63852,            0.015778,            0.038009,           0.0017396,            0.070055,           0.0033272,           0.0033272,             0.50894,             0.82584,             0.38807,             0.67936,             0.77682,             0.41566,             0.72878,              0.7847,             0.86105,             0.98597,             0.72472,             0.90658,              0.9318,             0.58657,             0.93638,               0.965
                   1,            0.017565,             0.01693,           0.0011112,             0.88735,             0.82722,             0.85385,             0.61019,            0.017802,            0.040852,           0.0019826,            0.039995,           0.0066006,           0.0066006,             0.48331,             0.81265,             0.35597,             0.68226,             0.70976,             0.42851,             0.64366,             0.76543,             0.84122,             0.98446,             0.69499,             0.89603,             0.92442,             0.60377,              0.9172,             0.96868
                   2,            0.020731,            0.020928,           0.0014837,             0.83145,              0.8105,             0.80631,             0.56501,            0.017928,            0.039629,           0.0024898,           0.0098755,            0.009814,            0.009814,              0.4584,             0.78366,             0.27891,             0.64336,             0.70454,             0.20534,             0.66373,             0.78214,             0.82931,             0.98186,             0.59262,             0.85859,             0.91291,             0.39504,             0.90871,             0.97145
                   3,            0.020966,            0.025108,           0.0019222,             0.84727,             0.79552,             0.81619,             0.56908,            0.018098,            0.035133,            0.002174,             0.00973,             0.00973,             0.00973,             0.46017,             0.78944,              0.3329,             0.59766,             0.69874,             0.27699,             0.64495,             0.75177,             0.81915,             0.98403,             0.65991,             0.84617,             0.90554,             0.45881,             0.88935,             0.96658
                   4,            0.021472,            0.028376,           0.0024485,             0.85108,              0.7797,             0.82375,             0.57967,            0.017658,            0.033678,           0.0029866,             0.00973,             0.00973,             0.00973,             0.47492,             0.80074,              0.3646,             0.60873,             0.69666,             0.28255,             0.64071,             0.76844,             0.82581,             0.98371,             0.69678,             0.80465,             0.87646,             0.52741,             0.90222,             0.97295
                   5,            0.022245,            0.031901,           0.0034039,             0.80582,             0.76781,             0.79132,             0.54339,            0.017493,            0.033987,           0.0029579,             0.00964,             0.00964,             0.00964,             0.45471,             0.79405,             0.31151,             0.56565,             0.68511,             0.21346,             0.61983,             0.70282,             0.80066,              0.9834,             0.63964,             0.76292,             0.86633,             0.42089,             0.90548,             0.95122
                   6,            0.022598,            0.031247,           0.0033524,             0.80444,             0.74396,             0.79005,             0.56338,            0.018367,            0.034108,           0.0029245,             0.00955,             0.00955,             0.00955,              0.4517,             0.78839,             0.32905,             0.62247,             0.69027,              0.2833,             0.58302,             0.75883,              0.8148,             0.98305,             0.66515,              0.8255,             0.88214,             0.39254,             0.79984,             0.95734
                   7,            0.022548,            0.031909,            0.003573,             0.81542,             0.74364,             0.80211,             0.56585,            0.017891,            0.033903,           0.0028374,             0.00946,             0.00946,             0.00946,             0.45918,             0.79267,             0.34588,             0.62972,             0.68827,             0.25758,             0.60758,             0.74592,             0.81209,             0.98211,             0.69972,             0.82278,             0.87269,             0.38355,              0.8865,             0.95742
                   8,            0.022328,            0.031898,           0.0031498,             0.82341,             0.77124,             0.81292,             0.57485,            0.017642,            0.033688,           0.0025719,             0.00937,             0.00937,             0.00937,             0.45879,             0.79765,             0.35036,             0.61141,             0.69987,             0.28583,             0.64878,             0.74613,             0.82249,             0.98446,             0.69241,             0.83642,             0.88681,              0.4173,             0.90243,             0.96101
                   9,            0.022059,             0.03116,            0.003131,             0.84868,             0.77325,             0.82062,             0.58582,            0.017534,            0.033239,            0.002769,             0.00928,             0.00928,             0.00928,             0.46941,             0.79712,             0.34967,             0.64483,               0.698,             0.36248,             0.60946,              0.7556,              0.8232,             0.98402,             0.67356,             0.81932,             0.89025,              0.5085,             0.90283,             0.96327
