               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,   metrics/insan_mAP,metrics/otomobil_mAP,metrics/motorsiklet_mAP,  metrics/otobus_mAP,  metrics/kamyon_mAP,metrics/diger_kara_araclari_mAP,metrics/rayli_tasit_mAP,metrics/deniz_tasiti_mAP,metrics/insan_mAP_50,metrics/otomobil_mAP_50,metrics/motorsiklet_mAP_50,metrics/otobus_mAP_50,metrics/kamyon_mAP_50,metrics/diger_kara_araclari_mAP_50,metrics/rayli_tasit_mAP_50,metrics/deniz_tasiti_mAP_50
                  78,            0.014794,             0.02247,           0.0012659,             0.88891,             0.82929,             0.85873,             0.65705,            0.013501,             0.03269,           0.0017552,             0.00307,             0.00307,             0.00307,             0.51594,             0.83651,             0.40046,             0.72625,             0.78191,             0.41774,             0.73912,             0.83843,             0.86036,             0.98625,             0.73457,             0.89261,             0.92512,             0.57299,             0.93148,             0.96643
                  79,            0.013699,            0.016833,           0.0010326,             0.88943,             0.83222,             0.86115,             0.65551,            0.013687,             0.03711,           0.0019752,             0.00298,             0.00298,             0.00298,             0.51101,             0.83198,             0.39362,             0.72515,             0.78206,             0.43346,             0.73446,             0.83233,             0.85462,             0.98454,             0.72181,             0.89197,             0.92632,             0.59918,             0.94262,             0.96813
                  80,            0.013829,            0.017809,           0.0010905,              0.8942,              0.8346,              0.8573,             0.65259,            0.013664,            0.037365,            0.001872,             0.00289,             0.00289,             0.00289,             0.50964,              0.8327,             0.38934,             0.72716,             0.77762,             0.43592,             0.71984,             0.82851,             0.85265,             0.98516,             0.71501,             0.88668,             0.92377,             0.60932,              0.9209,             0.96491
                  81,            0.013916,            0.018786,           0.0010536,             0.89453,             0.82685,             0.85838,             0.65364,            0.013691,            0.037027,           0.0018733,              0.0028,              0.0028,              0.0028,             0.50907,             0.83197,             0.38866,             0.72381,             0.77805,             0.42873,             0.73987,             0.82895,             0.85428,             0.98463,             0.71718,             0.88297,             0.92475,             0.59577,             0.94015,             0.96729
                  82,            0.013945,            0.018884,           0.0010715,             0.88714,             0.83221,             0.85547,             0.65512,            0.013663,            0.036436,           0.0015742,             0.00271,             0.00271,             0.00271,             0.51124,             0.83263,             0.39125,             0.72554,             0.78142,              0.4287,              0.7323,             0.83785,             0.85456,             0.98493,             0.72052,             0.87752,              0.9266,              0.5752,             0.93831,              0.9661
                  83,            0.014128,            0.019675,           0.0011218,             0.88303,             0.83982,             0.86036,             0.65751,            0.013596,            0.035433,           0.0017476,             0.00262,             0.00262,             0.00262,             0.51332,             0.83458,             0.40078,             0.73144,             0.78138,             0.43133,             0.73162,             0.83563,             0.85678,             0.98619,             0.73333,             0.88557,             0.92572,             0.58384,             0.93988,             0.97158
                  84,            0.013034,            0.015867,          0.00096063,             0.88799,             0.83463,              0.8576,             0.65497,            0.013641,             0.03844,           0.0019796,             0.00253,             0.00253,             0.00253,             0.50992,             0.83317,             0.39138,             0.73442,             0.78188,             0.43132,             0.72724,             0.83047,             0.85265,             0.98512,             0.71961,             0.88807,             0.92621,             0.58179,              0.9362,             0.97119
                  85,            0.013278,             0.01669,           0.0010003,              0.8764,             0.82953,             0.85717,             0.65355,            0.013703,            0.038888,           0.0015952,             0.00244,             0.00244,             0.00244,             0.50708,               0.833,             0.38636,             0.73575,             0.77803,             0.42725,              0.7299,               0.831,              0.8507,             0.98471,             0.71124,             0.88767,             0.92219,             0.60284,             0.92629,             0.97169
                  86,            0.013193,            0.017691,          0.00096102,             0.89887,             0.82418,             0.85901,             0.65557,            0.013687,            0.038696,           0.0019522,             0.00235,             0.00235,             0.00235,             0.50821,             0.83222,             0.38611,             0.73185,             0.78121,             0.43677,             0.73765,             0.83052,             0.85178,             0.98437,             0.71907,             0.88384,             0.92391,             0.60685,             0.92855,             0.97375
                  87,             0.01315,            0.017621,          0.00096689,             0.88973,             0.82258,              0.8576,             0.65493,            0.013681,             0.03826,           0.0016086,             0.00226,             0.00226,             0.00226,             0.50928,              0.8331,             0.38615,             0.73387,             0.78231,             0.42916,              0.7327,             0.83285,             0.85262,             0.98474,             0.71398,             0.88777,              0.9236,             0.59044,             0.92967,             0.97797
                  88,            0.012494,            0.014935,          0.00086029,             0.90371,             0.82315,             0.85797,              0.6534,            0.013674,            0.040242,           0.0015254,             0.00217,             0.00217,             0.00217,             0.50831,             0.83287,             0.38505,             0.73284,             0.77772,             0.42409,             0.73352,              0.8328,             0.85044,             0.98472,             0.70862,             0.89378,             0.92157,             0.59488,             0.93341,             0.97635
                  89,            0.012653,            0.015635,          0.00090064,             0.90565,             0.82097,             0.85598,             0.65227,            0.013661,            0.040757,           0.0015307,             0.00208,             0.00208,             0.00208,              0.5076,             0.83211,              0.3837,             0.73358,             0.77457,             0.43211,             0.72041,             0.83406,             0.84878,             0.98448,             0.71236,             0.89148,             0.91903,             0.59933,             0.92562,             0.96674
